cls,fea,nsen,smax,mfmax,cmax,uar,ci95_u,bar,ci95_b,bar_exp,ci95_be_low,ci95_be_upp,eer,cm,eermsg,mcc,auc,mse,r2,ss,amax,amax_std,fmax,fmax_std,pmax,pmax_std,rmax,rmax_std,maxerr,ci95_me_low,ci95_me_low,cm,labels
snn,pfa,1,bottles,1,86.83333333333334,99.34602649006624,0.14373745569298269,86.83333333333334,0.602970105346734,86.75496650685604,2.5799665067955724,2.420033492962781,5.2207130730051095,0,,0.8554292973020224,0.9851396434634975,-,-,-,0.8683333333333334,0.025495097567963938,0.9220078929836257,0.017549015458800974,0.9966700221835769,0.0006401937972788322,0.8683333333333334,0.025495097567963938,26.333333333333332,4.8949685367317475,5.36917860919125,0,B=>V
snn,sfa,1,bottles,3,78.1454442558008,98.87417218543047,0.18814472265730187,78.14544425580078,0.7369490230155984,78.09568327040436,2.8206832702952545,2.779316729560455,4.108658743633269,0,,0.735214075765281,0.9913726655348047,-,-,-,0.781454442558008,0.04901447723389731,0.8511493528759999,0.035243796567558015,0.9828355822257109,0.015476034734570461,0.781454442558008,0.04901447723389731,43.666666666666664,5.691873484333248,5.818196519724195,0,B=>V
snn,sig,1,bottles,4,51.02235427277873,97.29304635761589,0.28939827225636927,51.02235427277873,0.89144350194299,51.1743229238679,0.7493229239700083,1.0506770760744022,34.99999999998365,0,,0.05471136485959699,0.6861181380871535,-,-,-,0.5102235427277872,0.007776819058461671,0.5127982535063067,0.01319901804786431,0.5611648954662137,0.037555089912734645,0.5102235427277872,0.007776819058461671,97.66666666666667,2.414923169644667,1.3901831271538212,0,B=>V
